run_timestamp,symbol,market,timeframe,signal,confidence,entry,stop_loss,take_profit_1,take_profit_2,risk_reward_1,risk_reward_2
2026-09-12 14:46:39 +0330,ETH/USDT,CRYPTO,1h,LONG,47.0,2531.66,2504.05186,2535.73,2614.4844199999993,0.15,3.0
2026-09-12 14:46:39 +0330,ZEC/USDT,CRYPTO,1h,LONG,28.0,1151.64,1125.231197817028,1170.05,1230.8664065489163,0.7,3.0
2026-09-12 14:46:39 +0330,ETH/USD,CRYPTO,1h,LONG,53.0,2534.57,2503.64268,2535.19,2627.351960000001,0.02,3.0
2026-09-12 14:46:39 +0330,TUSD/USD,CRYPTO,1h,LONG,38.0,1.025,0.998,1.03,1.1059999999999997,0.19,3.0
2026-09-12 14:46:39 +0330,USDT/USD,CRYPTO,1h,LONG,28.0,0.99989,0.9995902668854043,0.99993,1.000789199343787,0.13,3.0
2026-09-12 14:46:39 +0330,TUSD/USDT,CRYPTO,1h,LONG,37.0,0.999,0.9949976444653619,0.9999,1.0110070666039144,0.22,3.0
2026-09-12 14:46:39 +0330,BTC/USD,CRYPTO,1h,SHORT,44.0,77319.48,77702.55270314026,77173.56,76170.2618905792,0.38,3.0
2026-09-12 14:46:39 +0330,RLC/USD,CRYPTO,1h,SHORT,32.0,1.311,1.3271622539406167,1.305,1.2625132381781496,0.37,3.0
2026-09-12 15:02:39 +0330,BTC/USDT,CRYPTO,1h,SHORT,44.0,77306.36,77708.72919730839,77191.81,76099.25240807483,0.28,3.0
2026-09-12 15:02:39 +0330,ETH/USDT,CRYPTO,1h,LONG,47.0,2532.86,2504.05186,2535.73,2619.2844200000004,0.1,3.0
2026-09-12 15:02:39 +0330,ZEC/USDT,CRYPTO,1h,LONG,35.0,1153.95,1127.541197817028,1170.05,1233.1764065489162,0.61,3.0
2026-09-12 15:02:39 +0330,ETH/USD,CRYPTO,1h,LONG,53.0,2531.36,2503.64268,2535.19,2614.5119600000007,0.14,3.0
2026-09-12 15:02:39 +0330,TUSD/USD,CRYPTO,1h,LONG,38.0,1.025,0.998,1.03,1.1059999999999997,0.19,3.0
2026-09-12 15:02:39 +0330,USDT/USD,CRYPTO,1h,LONG,28.0,0.99989,0.9995902668854043,0.99993,1.000789199343787,0.13,3.0
2026-09-12 15:02:39 +0330,TUSD/USDT,CRYPTO,1h,LONG,37.0,0.999,0.9949976444653619,0.9999,1.0110070666039144,0.22,3.0
2026-09-12 15:02:39 +0330,BTC/USD,CRYPTO,1h,SHORT,44.0,77293.53,77678.40484599741,77173.56,76138.90546200775,0.31,3.0
2026-09-12 15:02:39 +0330,RLC/USD,CRYPTO,1h,SHORT,32.0,1.311,1.3271622539406167,1.305,1.2625132381781496,0.37,3.0
2026-09-12 16:46:12 +0330,BTC/USDT,CRYPTO,1h,SHORT,45.0,77313.77,77679.85920586031,77191.81,76215.50238241909,0.33,3.0
2026-09-12 16:46:12 +0330,ETH/USDT,CRYPTO,1h,LONG,63.0,2539.72,2504.05186,2546.46,2646.724419999999,0.19,3.0
2026-09-12 16:46:12 +0330,ZEC/USDT,CRYPTO,1h,LONG,28.0,1153.9,1128.545750378012,1170.05,1229.9627488659646,0.64,3.0
2026-09-12 16:46:12 +0330,TUSD/USD,CRYPTO,1h,LONG,38.0,1.025,0.998,1.03,1.1059999999999997,0.19,3.0
2026-09-12 16:46:12 +0330,ETH/USD,CRYPTO,1h,LONG,63.0,2541.16,2503.64268,2546.14,2653.7119599999996,0.13,3.0
2026-09-12 16:46:12 +0330,TUSD/USDT,CRYPTO,1h,LONG,37.0,0.999,0.9949976444653619,0.9999,1.0110070666039144,0.22,3.0
2026-09-12 16:46:12 +0330,USDT/USD,CRYPTO,1h,LONG,53.0,0.99991,0.9996299239976866,0.99993,1.00075022800694,0.07,3.0
2026-09-12 16:46:12 +0330,RLC/USD,CRYPTO,1h,SHORT,32.0,1.311,1.3271622539406167,1.305,1.2625132381781496,0.37,3.0
2026-09-12 17:53:44 +0330,ETH/USDT,CRYPTO,1h,LONG,57.0,2542.12,2504.05186,2546.46,2656.3244199999995,0.11,3.0
2026-09-12 17:53:44 +0330,TUSD/USD,CRYPTO,1h,LONG,38.0,1.025,0.998,1.03,1.1059999999999997,0.19,3.0
2026-09-12 17:53:44 +0330,TUSD/USDT,CRYPTO,1h,LONG,37.0,0.999,0.9949976444653619,0.9999,1.0110070666039144,0.22,3.0
2026-09-12 17:53:44 +0330,USDT/USD,CRYPTO,1h,LONG,53.0,0.99997,0.9996964600384267,0.99999,1.0007906198847198,0.07,3.0
2026-09-12 17:53:44 +0330,RLC/USD,CRYPTO,1h,SHORT,32.0,1.311,1.3271622539406167,1.305,1.2625132381781496,0.37,3.0
